name,category_no,category_name,sub_no,sub_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5
ZWILLING 砧板 ,15,日用百貨類,114,餐廚用品,,,,,
科克蘭平口褲四入 ,15,日用百貨類,108,民生紙品,,,,,
焦糖核桃乳酪抹醬 ,8,烘焙/甜點類,59,其他甜食,焦糖,抹,,,
假牙清潔＋淨白錠 ,16,洗浴清潔/保養類,122,口腔保健,白,,,,
曾拌麵12入 ,14,民生食材類,99,各式麵條/拌麵,,,,,
TIMBERLAND男皮帶 ,22,服飾鞋包類,154,男裝,男,,,,
有機黃秋葵 500G ,14,民生食材類,97,有機食品,有機,有,黃,5,
韓式蔬菜煎餅 ,13,點心/零食類,81,餅乾,,,,,
皇家松露薄鹽醬油 ,14,民生食材類,95,料理調味,醬,鹽,醬油,,
潔力豆海綿菜瓜布 ,15,日用百貨類,110,家庭清潔用品,菜瓜布,海綿,布,,
義美香蒜拔絲麵包 ,8,烘焙/甜點類,56,麵包,麵,包,香蒜,,
BERINGER CS紅酒 ,26,禮盒類,176,禮盒,,,,,
新鮮芒果奶酪6CT ,4,乳品類,24,優格,,,,,
95無鉛汽油 ,15,日用百貨類,115,汽機車用品類,汽油,無,鉛,95,
PETITZEL石榴飲料 ,2,飲料類,10,果汁/果醋飲,,,,,
IRC FOR #208768 ,21,3C類,143,手機/通訊/週邊,2,,,,
漢堡包15入 ,17,寵物用品類,129,寵物用品,,,,,
CAVENDISH薯餅 ,13,點心/零食類,81,餅乾,,,,,
美國特選無骨牛小 ,10,生鮮食品類,64,生鮮肉品,牛,,,,
迷你抹茶奶油酥餅 ,13,點心/零食類,81,餅乾,酥,,,,
VASELINE乳液3PK ,16,洗浴清潔/保養類,121,身體清潔/保養,,,,,
琣伯莉綜合餅乾組 ,13,點心/零食類,81,餅乾,,,,,
桂格有機燕麥飲 ,2,飲料類,12,養生飲品,飲,燕麥,有機,,
迷你可鬆28入 ,21,3C類,143,手機/通訊/週邊,入,2,,,
巧克力法式薄餅 ,13,點心/零食類,81,餅乾,巧克力,,,,
冷凍祕魯綠蘆筍 ,11,冷凍食品類,70,冷凍蔬菜,冷凍,,,,
WAKAMOTO 若元錠 ,12,保健食品類,78,保健/養生,,,,,
C.K.男內褲三入組 ,22,服飾鞋包類,151,男女內著,褲,男,內褲,,
法國可鬆12 ,17,寵物用品類,129,寵物用品,,,,,
CHAMPION男T恤 ,22,服飾鞋包類,154,男裝,男,,,,
HIKARI鰹魚昆布味 ,14,民生食材類,102,南北乾貨/雜糧食材,,,,,
檸檬乳酪塔6入 ,4,乳品類,25,優酪乳,乳,乳酪,,,
斐濟天然礦泉水 ,3,水類,18,礦泉水,水,泉水,礦,天然,
哈瑞寶金熊軟糖 ,13,點心/零食類,91,糖果,軟糖,糖,,,
LEVI'S女牛仔褲 ,22,服飾鞋包類,155,個人服飾配件,,,,,
紐西蘭樂淇蘋果 ,25,菸酒類,171,啤酒,,,,,
無鹽奶油1.812KG ,14,民生食材類,95,料理調味,鹽,2,,,
PAOS植物洗潔精 ,15,日用百貨類,111,家庭清潔洗劑,精,洗潔,,,
純芝麻油1L ,14,民生食材類,95,料理調味,1L,,,,
韓式燒烤牛肉 ,7,鮮食類,49,小菜/滷味,,,,,
EC 收藏家防潮箱 93 ,21,3C類,146,相機/攝影/DV,3,,,,
EC COUPON #217455 ,21,3C類,143,手機/通訊/週邊,5,2,,,
EC KOTEX 棉條一般 ,16,洗浴清潔/保養類,119,女性衛生用品,棉,,,,
EC BRITA OT 濾芯 ,19,家電類,134,廚房家電,,,,,
喜馬拉雅山粉紅鹽 ,14,民生食材類,95,料理調味,鹽,,,,
#128164 回饋金 ,7,鮮食類,44,米飯類,,,,,
KELLOGGS 草莓脆片 ,13,點心/零食類,81,餅乾,草莓,,,,
龍口有機冬粉 ,14,民生食材類,99,各式麵條/拌麵,,,,,
好侍爪哇咖哩日豬 ,14,民生食材類,95,料理調味,咖哩,爪哇,,,
IRC FOR #101174 ,21,3C類,143,手機/通訊/週邊,,,,,
M2R 3/4防護頭盔L ,21,3C類,143,手機/通訊/週邊,2,,,,
玫瑰造型巧克力片 ,13,點心/零食類,92,巧克力,巧克力,,,,
客萊斯麥布里歐 ,26,禮盒類,176,禮盒,,,,,
蘆露蘆薈膠 ,24,傢俱/家飾類,162,家飾,,,,,
北海道生干貝S ,10,生鮮食品類,64,生鮮肉品,,,,,
ZIPLOC拉鍊夾鏈袋 ,22,服飾鞋包類,155,個人服飾配件,,,,,
鮪魚燕麥飯糰 ,7,鮮食類,44,米飯類,飯,糰,,,
鐵葉酸回饋金 ,12,保健食品類,78,保健/養生,,,,,
COUPON FOR DIAPER ,21,3C類,143,手機/通訊/週邊,,,,,
KS 泉水 500ML ,2,飲料類,8,茶飲,5,,,,
NM 檸檬酸鈣 +D3+K2 ,2,飲料類,10,果汁/果醋飲,,,,,
夏伯帝微甜氣泡酒 ,25,菸酒類,171,啤酒,酒,,,,
BK-天才的關鍵習 ,20,書本/文教用品類,139,書籍,,,,,
NM大豆卵磷脂膠囊 ,12,保健食品類,78,保健/養生,,,,,
科克蘭維生素B ,20,書本/文教用品類,141,文教用品,,,,,
JEZEBEL女背心 ,22,服飾鞋包類,153,女裝,,,,,
陳稼莊果汁吸凍飲 ,2,飲料類,10,果汁/果醋飲,,,,,
Q-TIPS棉花棒 ,12,保健食品類,80,醫材/藥品,,,,,
半熟迷你麵包 ,8,烘焙/甜點類,56,麵包,麵,包,,,
雙人乳膠床墊 ,24,傢俱/家飾類,165,床墊,墊,雙人,床,乳膠,
BUFFALO女牛仔褲 ,22,服飾鞋包類,153,女裝,牛仔,,,,
DKNY女窄管牛仔褲 ,22,服飾鞋包類,153,女裝,牛仔,,,,
香蒜奶油鮭魚排 ,11,冷凍食品類,72,冷凍肉品,鮭魚,排,,,
幫寶適拉拉褲XL ,20,書本/文教用品類,141,文教用品,,,,,
IRC FOR #1127001 ,21,3C類,143,手機/通訊/週邊,2,,,,
COUPON #195689 ,21,3C類,143,手機/通訊/週邊,5,,,,
KOH 椰奶 ,4,乳品類,23,調味乳,,,,,
健司金黃起司餅乾 ,13,點心/零食類,81,餅乾,起司,,,,
KS 小熊造型蜂蜜 ,14,民生食材類,96,果醬/抹醬,,,,,
KS BRIE布瑞乾酪 ,14,民生食材類,95,料理調味,KS,,,,
REEBOK男慢跑鞋 ,22,服飾鞋包類,149,品牌鞋款,慢跑鞋,鞋,男,,
HOMEPOD MINI白 ,17,寵物用品類,127,狗食,D,,,,
水果鮮蝦沙拉 ,7,鮮食類,48,生鮮蔬果/沙拉,,,,,
MENAGE MOSCATO ,21,3C類,143,手機/通訊/週邊,,,,,
蘋果汁320ML X 24 ,2,飲料類,10,果汁/果醋飲,,,,,
CJ韓式蔬菜粉絲餃 ,7,鮮食類,49,小菜/滷味,,,,,
FIESTA 沐浴精套裝 ,16,洗浴清潔/保養類,121,身體清潔/保養,沐浴,,,,
犀牛盾 12/12P 殼 ,21,3C類,143,手機/通訊/週邊,2,,,,
NAUTICA無鋼圈BRA ,22,服飾鞋包類,155,個人服飾配件,,,,,
S&W 切塊蕃茄 ,10,生鮮食品類,63,生鮮水果,,,,,
石安牧場布丁8CT ,10,生鮮食品類,64,生鮮肉品,,,,,
加樂蘋果2.7 KG ,12,保健食品類,78,保健/養生,,,,,
CAT CHOW貓乾糧 ,17,寵物用品類,126,貓食,糧,,,,
有機南瓜籽仁 ,14,民生食材類,97,有機食品,有機,有,,,
有機穀典有機黃豆 ,14,民生食材類,97,有機食品,有機,有,黃,穀,
MOONY母乳墊 ,24,傢俱/家飾類,165,床墊,墊,,,,
歐舒適每日拋4.00 ,24,傢俱/家飾類,162,家飾,,,,,
GLACIER男上衣 ,22,服飾鞋包類,154,男裝,男,,,,
JAZEBEL女上衣 ,22,服飾鞋包類,153,女裝,,,,,
金星會員主卡 ,20,書本/文教用品類,139,書籍,,,,,
IC-桂格喝的燕麥 ,5,豆米漿/植物奶,27,豆漿,燕麥,麥,燕,桂格,的
南僑多穀飯10入 ,17,寵物用品類,129,寵物用品,,,,,
宮武讚岐豆皮烏龍 ,11,冷凍食品類,76,冷凍微波料理,,,,,
無糖杏仁飲1.89L ,2,飲料類,8,茶飲,無糖,飲,1,,
K&K椒麻雞丁1.2KG ,11,冷凍食品類,76,冷凍微波料理,雞,1,,,
ANTINORI CHIANTI ,21,3C類,143,手機/通訊/週邊,,,,,
美國頂級沙朗牛排 ,10,生鮮食品類,64,生鮮肉品,牛,,,,
科克蘭維生素B12 ,20,書本/文教用品類,141,文教用品,1,,,,
BERKSHIRE蓋毯 ,24,傢俱/家飾類,163,寢具,,,,,
SAMLIP法式小麵包 ,8,烘焙/甜點類,56,麵包,麵,包,,,
含鹽奶油453GX4 ,14,民生食材類,95,料理調味,鹽,,,,
冷凍酥炸魷魚圈 ,11,冷凍食品類,76,冷凍微波料理,冷凍,酥,,,
ARM&HAMMER貓砂 ,17,寵物用品類,129,寵物用品,,,,,
3M汽油添加劑2PK ,15,日用百貨類,115,汽機車用品類,汽油,劑,,,
助聽器電池#312 ,21,3C類,147,週邊/耗材,,,,,
ZIPLOC GALLON FREE ,21,3C類,143,手機/通訊/週邊,,,,,
KS無調味綜合堅果 ,13,點心/零食類,82,堅果,堅果,綜合,無,調味,果
3M萬用去汙劑 ,15,日用百貨類,111,家庭清潔洗劑,去,劑,,,
蕊麗果凍狀芳香劑 ,15,日用百貨類,110,家庭清潔用品,芳香,,,,
ADIDAS男拖鞋 ,22,服飾鞋包類,149,品牌鞋款,鞋,男,,,
AHC保濕機能水 ,12,保健食品類,79,美肌/纖體,,,,,
瑪斯卡邦乳酪500G ,4,乳品類,23,調味乳,乳,5,,,
KS 進口保鮮膜 ,15,日用百貨類,114,餐廚用品,保,,,,
台畜台灣豬肉鬆 ,14,民生食材類,102,南北乾貨/雜糧食材,,,,,
KS蕃茄義大利麵醬 ,14,民生食材類,95,料理調味,醬,KS,麵,,
蔥油雞半隻去骨 ,7,鮮食類,44,米飯類,蔥,,,,
紅龍冷凍牛肉捲 ,11,冷凍食品類,76,冷凍微波料理,冷凍,紅龍,捲,牛肉,
涼被折價券 ,24,傢俱/家飾類,163,寢具,被,,,,
米其林輪胎折價卷 ,15,日用百貨類,115,汽機車用品類,,,,,
義大利氣泡礦泉水 ,3,水類,18,礦泉水,水,泉水,礦,,
多提亞皮塔餅700G ,8,烘焙/甜點類,56,麵包,塔,,,,
安速冷氣清潔劑4 ,15,日用百貨類,110,家庭清潔用品,清潔,,,,
馬牌215/70 R16 ,7,鮮食類,44,米飯類,,,,,
BINGGRAE 香蕉牛奶 ,4,乳品類,23,調味乳,牛奶,BINGGRAE,,,
KS葡萄籽油 ,14,民生食材類,95,料理調味,KS,,,,
易口舒勁爽薄荷錠 ,13,點心/零食類,91,糖果,薄荷,易口,錠,,
KS玉米片 ,13,點心/零食類,81,餅乾,玉米,玉米片,,,
李施德霖漱口水 ,16,洗浴清潔/保養類,122,口腔保健,,,,,
有機白莧菜500G ,14,民生食材類,97,有機食品,有機,有,5,菜,
BUFFALO平口褲 ,22,服飾鞋包類,151,男女內著,L,褲,平口,,
履歷白洋菇500G ,10,生鮮食品類,62,生鮮蔬菜,履歷,菇,500G,,
美國特選肋眼骰子 ,17,寵物用品類,129,寵物用品,,,,,
TWS手工純黑糖2KG ,23,精品類,161,黃金,,,,,
法國波爾多酒神 ,26,禮盒類,176,禮盒,,,,,
NEUTROGENA沐浴露 ,16,洗浴清潔/保養類,121,身體清潔/保養,沐浴,沐浴露,,,
STARK-CONDE 紅酒 ,26,禮盒類,176,禮盒,,,,,
西雅圖嚴焙大濾掛 ,13,點心/零食類,90,即飲甜品,西雅圖,嚴焙大濾掛,濾掛,,
OSRAM 14W黃燈泡 ,19,家電類,135,生活家電,,,,,
KS三層高爾夫球24 ,18,戶外休閒用品類,130,運動健身,,,,,
KS冷凍天婦羅炸蝦 ,11,冷凍食品類,76,冷凍微波料理,冷凍,蝦,,,
南非博士茶160 BA ,20,書本/文教用品類,139,書籍,1,,,,
美國頂級牛小燒烤 ,19,家電類,134,廚房家電,,,,,
有機櫛瓜1公斤 ,14,民生食材類,103,米,,,,,
榮祺佃煮牛蒡 ,18,戶外休閒用品類,130,運動健身,,,,,
過濾花灑套組 ,19,家電類,135,生活家電,,,,,
山榮鱈魚起司條 ,13,點心/零食類,81,餅乾,起司,,,,
GERRY男休閒短褲 ,22,服飾鞋包類,154,男裝,男,休閒,褲,短褲,
MARIANI葡萄乾 ,13,點心/零食類,88,果乾,乾,葡萄乾,葡萄,MARIANI,
KS義大利橄欖油 ,14,民生食材類,95,料理調味,橄欖油,KS,,,
MACSPORTS XL拖車 ,20,書本/文教用品類,141,文教用品,,,,,
雀巢纖怡穀物棒 ,13,點心/零食類,91,糖果,穀,,,,
澳洲白玉馬鈴薯 ,10,生鮮食品類,63,生鮮水果,,,,,
FURLA SUN SFU343 ,21,3C類,143,手機/通訊/週邊,,,,,
炫閃晶日拋1.50 ,21,3C類,146,相機/攝影/DV,,,,,
愛爾康睛艷-7.00 ,12,保健食品類,80,醫材/藥品,,,,,
MC研磨黑胡椒粒 ,14,民生食材類,95,料理調味,胡椒,黑,,,
MARGARITA 1.75L ,21,3C類,143,手機/通訊/週邊,5,,,,
KS新鮮羅勒調味醬 ,14,民生食材類,95,料理調味,醬,KS,,,
蜂巢狀糖塊冰淇淋 ,6,冰品類,33,冰淇淋,冰淇淋,,,,
BK-屁屁偵探繪本 ,20,書本/文教用品類,139,書籍,,,,,
NM綜合維生素 ,12,保健食品類,78,保健/養生,,,,,
奇多起司玉米脆棒 ,13,點心/零食類,81,餅乾,玉米,起司,棒,,
美國頂級嫩肩牛排 ,11,冷凍食品類,73,冷凍海鮮,,,,,
NEOFLAM保鮮盒 ,15,日用百貨類,114,餐廚用品,保鮮盒,盒,保,,
EC 伊藤園綠茶 975 ,2,飲料類,8,茶飲,茶,綠茶,綠,5,
KS 羊肉乾狗糧 ,17,寵物用品類,129,寵物用品,,,,,
FOODSAVER真空卷 ,19,家電類,134,廚房家電,,,,,
CKJ男防風外套 ,22,服飾鞋包類,154,男裝,男,,,,
BUFFALO 女長褲 ,22,服飾鞋包類,153,女裝,,,,,
CHEN'S冷凍蝦餃 ,11,冷凍食品類,76,冷凍微波料理,C,冷凍,餃,蝦,
善存葉黃素 ,12,保健食品類,78,保健/養生,,,,,
普拿疼伏冒加強40 ,21,3C類,143,手機/通訊/週邊,,,,,
滴露消毒藥水4000 ,16,洗浴清潔/保養類,121,身體清潔/保養,,,,,
五月花妙用衛生紙 ,15,日用百貨類,108,民生紙品,衛生紙,紙,,,
科克蘭全脂鮮乳 ,4,乳品類,21,鮮乳類,鮮乳,全脂,乳,,
妙用紙巾折價券 ,15,日用百貨類,108,民生紙品,紙巾,紙,巾,,
愛之味純濃燕麥 ,5,豆米漿/植物奶,27,豆漿,燕麥,麥,燕,愛之味,純
MOVE FREE回饋金 ,7,鮮食類,44,米飯類,,,,,
合利他命280X2 ,26,禮盒類,176,禮盒,8,,,,
大理石麵包6入 ,14,民生食材類,99,各式麵條/拌麵,,,,,
西雅圖即品拿鐵 ,13,點心/零食類,90,即飲甜品,西雅圖,拿,鐵,即品,
西雅圖二合一咖啡 ,13,點心/零食類,90,即飲甜品,西雅圖,咖啡,二合一,,
IRC FOR #120102 ,21,3C類,143,手機/通訊/週邊,2,,,,
德國豬腳 ,22,服飾鞋包類,149,品牌鞋款,,,,,
摩佐拉乳酪條 ,4,乳品類,25,優酪乳,乳,乳酪,,,
有機白菜 ,10,生鮮食品類,62,生鮮蔬菜,有機,有,菜,白菜,
凱撒雞肉沙拉 ,17,寵物用品類,129,寵物用品,,,,,
BBQ雞肉披薩單片 ,11,冷凍食品類,76,冷凍微波料理,雞,雞肉,,,
豬肉熱狗&汽水 ,7,鮮食類,42,熱狗,熱狗,,,,
IT-SE-BIT-SE內褲 ,22,服飾鞋包類,151,男女內著,褲,內褲,,,
產銷水蓮400G ,11,冷凍食品類,70,冷凍蔬菜,產銷,產,4,,
抓餅(台豬) ,10,生鮮食品類,67,冷藏調理,,,,,
桂格夏日穀珍 ,13,點心/零食類,90,即飲甜品,桂格,穀,珍,夏日,
MAGNUM有機咖啡豆 ,1,咖啡類,2,罐裝/瓶裝咖啡,,,,,
粉紅香水沐浴乳 ,16,洗浴清潔/保養類,121,身體清潔/保養,沐浴乳,沐浴,香水,,
科克蘭維他命D3 ,13,點心/零食類,81,餅乾,,,,,
科克蘭UCII ,20,書本/文教用品類,139,書籍,,,,,
樂敦洗眼液 ,15,日用百貨類,110,家庭清潔用品,,,,,
原萃日式綠茶 ,2,飲料類,8,茶飲,茶,綠茶,綠,日式,原萃
COSTCO保溫保冷袋 ,15,日用百貨類,114,餐廚用品,保,保溫,,,
新鮮草莓奶酪6CT ,8,烘焙/甜點類,56,麵包,,,,,
洋蔥牛肉米漢堡 ,11,冷凍食品類,76,冷凍微波料理,牛肉,,,,
#64996回饋金 ,7,鮮食類,44,米飯類,,,,,
原味高鈣起司球 ,13,點心/零食類,81,餅乾,原味,起司,味,,
熱美式16OZ ,1,咖啡類,1,現做咖啡飲品,美式,熱,,,
飲料 ,2,飲料類,13,能量飲料,飲料,,,,
熱拿鐵 ,1,咖啡類,1,現做咖啡飲品,拿,鐵,熱,,
蒜辣炸雞2入 ,13,點心/零食類,83,肉乾/肉紙,,,,,
玉米水餃(台豬) ,11,冷凍食品類,76,冷凍微波料理,豬,水餃,餃,玉米,
好奇嬰兒濕巾 ,16,洗浴清潔/保養類,121,身體清潔/保養,濕巾,濕,巾,嬰兒,
泉水 1.5L/12 入 ,2,飲料類,8,茶飲,5,入,1,,
卜蜂唐揚炸雞 ,11,冷凍食品類,76,冷凍微波料理,雞,卜蜂,,,
海苔鹽厚切洋芋片 ,13,點心/零食類,81,餅乾,洋芋片,海苔,洋芋,,
樂天卡士達派 36PK ,13,點心/零食類,94,其他零食,,,,,
液體衛生棉24CM ,12,保健食品類,80,醫材/藥品,,,,,
海鮮披薩單片 ,11,冷凍食品類,76,冷凍微波料理,,,,,
KS抽取式衛生紙 ,15,日用百貨類,108,民生紙品,衛生紙,抽取,抽,式,紙
#1081556回饋金 ,7,鮮食類,44,米飯類,,,,,
卜蜂義式雞胸 ,10,生鮮食品類,64,生鮮肉品,雞,,,,
半熟帕尼尼麵包 ,8,烘焙/甜點類,56,麵包,麵,包,,,
得意一天葵花油 ,14,民生食材類,95,料理調味,得意,一天,,,
純在葡萄柚蘋果綠 ,2,飲料類,8,茶飲,綠,純,,,
ASICS男慢跑鞋 ,22,服飾鞋包類,149,品牌鞋款,慢跑鞋,鞋,男,,
海鹽杏仁黑巧克力 ,13,點心/零食類,92,巧克力,巧克力,黑,杏仁,,
福記日式滷蛋25CT ,10,生鮮食品類,67,冷藏調理,蛋,2,,,
#128930回饋金 ,7,鮮食類,44,米飯類,,,,,
摩卡咖啡脆捲1KG ,1,咖啡類,2,罐裝/瓶裝咖啡,,,,,
森永嗨啾軟糖 ,13,點心/零食類,91,糖果,軟糖,糖,啾,嗨,
挺立鈣回饋金 ,12,保健食品類,78,保健/養生,,,,,
挺立鈣強力錠 ,12,保健食品類,78,保健/養生,,,,,
NAUTICA男平口褲 ,22,服飾鞋包類,151,男女內著,褲,男,平口,,
KS OS蔓越莓果汁 ,2,飲料類,10,果汁/果醋飲,,,,,
履歷櫛瓜1公斤 ,14,民生食材類,103,米,,,,,
