name,category_no,category_name,sub_no,sub_name,keyword_1,keyword_2,keyword_3,keyword_4,keyword_5
BOSE揚聲器 ,19,家電類,137,視聽娛樂家電,,,,,
EC 充氣水上溜滑梯 ,20,書本/文教用品類,141,文教用品,,,,,
牛奶海陸雪花牛肉鍋 ,11,冷凍食品類,76,冷凍微波料理,牛肉,,,,
塑膠袋-6杯袋 ,15,日用百貨類,114,餐廚用品,杯,,,,
MAG-WALLPAPER ,21,3C類,143,手機/通訊/週邊,,,,,
in_紅咖哩雞肉飯 ,7,鮮食類,44,米飯類,飯,咖哩,肉,雞肉,
in_羅望果酸子汁 ,2,飲料類,10,果汁/果醋飲,,,,,
犀牛盾12殼 ,21,3C類,143,手機/通訊/週邊,2,,,,
UB-暖心饗豬套餐 ,7,鮮食類,44,米飯類,套餐,,,,
帶骨風乾火腿 6.5K ,10,生鮮食品類,67,冷藏調理,腿,,,,
ORGAIN膠原蛋白 ,12,保健食品類,79,美肌/纖體,,,,,
BK-原來有這站: ,20,書本/文教用品類,139,書籍,,,,,
ADIDAS 女運動上衣 ,22,服飾鞋包類,153,女裝,,,,,
ECBK- 張曼娟的 ,20,書本/文教用品類,139,書籍,,,,,
P.B. 四輪維修椅 ,18,戶外休閒用品類,131,戶外露營,,,,,
KS女長褲 ,22,服飾鞋包類,153,女裝,,,,,
SILHOUETTE FR 2927 ,21,3C類,143,手機/通訊/週邊,2,,,,
外送-酸辣海鮮炒河粉 ,7,鮮食類,45,麵食類,炒,海鮮,送,,
外送-牛肉炒河粉 ,7,鮮食類,45,麵食類,炒,牛肉,送,,
熔岩焦糖乳酪蛋糕 ,8,烘焙/甜點類,57,蛋糕,蛋糕,熔岩,,,
辛辣牛奶湯 ,13,點心/零食類,84,豆乾,,,,,
自助吧198元 ,21,3C類,143,手機/通訊/週邊,,,,,
瀑布雙拼美國雪花牛500g+美雪花豬肉500g ,11,冷凍食品類,76,冷凍微波料理,豬,豬肉,,,
8冰綠-中 ,6,冰品類,33,冰淇淋,,,,,
LETS GO 帆布包 (紅) ,22,服飾鞋包類,155,個人服飾配件,,,,,
R 錫蘭紅茶-大冰 ,1,咖啡類,1,現做咖啡飲品,冰,大冰,茶,大,
a la sha Q咪泡泡拼接創意棉T ,21,3C類,143,手機/通訊/週邊,,,,,
ECBK- 金庸作品 ,20,書本/文教用品類,139,書籍,,,,,
濃香咖哩醬 ,14,民生食材類,95,料理調味,醬,咖哩,香,,
波霸紅茶拿鐵-中 ,2,飲料類,8,茶飲,茶,紅茶,,,
APPLE HOMEPOD WHT ,21,3C類,143,手機/通訊/週邊,,,,,
EC 紫水晶項鍊 ,23,精品類,159,精品／飾品,鍊,,,,
外-國產香煎原塊雪花豚2.0 ,10,生鮮食品類,64,生鮮肉品,,,,,
單人雙享套餐C ,24,傢俱/家飾類,165,床墊,餐,單人,,,
EC- 森林家族猴子 ,20,書本/文教用品類,139,書籍,,,,,
GREENPAN 湯鍋 ,15,日用百貨類,114,餐廚用品,,,,,
(升級+180)海鮮粥 ,7,鮮食類,44,米飯類,,,,,
ECBK- 美感收納術 ,20,書本/文教用品類,139,書籍,,,,,
EC 40LTE M06Y3TA/A ,21,3C類,143,手機/通訊/週邊,,,,,
外帶生食-霜降牛 ,7,鮮食類,44,米飯類,牛,,,,
CHATEAU SIRAN ,21,3C類,143,手機/通訊/週邊,,,,,
BS 235/60 R18 103V ,21,3C類,143,手機/通訊/週邊,5,2,,,
G.ARMANI S AR6060 ,21,3C類,143,手機/通訊/週邊,,,,,
EC MOD NX白PROM. ,21,3C類,143,手機/通訊/週邊,,,,,
EC 觸碰防火金庫 ,19,家電類,135,生活家電,,,,,
米其林 235/40 R19 ,14,民生食材類,103,米,,,,,
BK-市場戰略:企 ,20,書本/文教用品類,139,書籍,,,,,
百靈７系列電鬍刀 ,19,家電類,136,美容家電,刀,鬍,系列,電,
ECBK 新生兒父母手 ,20,書本/文教用品類,139,書籍,新,,,,
EC DUCATI DA7022 ,21,3C類,143,手機/通訊/週邊,2,,,,
TOY STORY玩偶6PK ,13,點心/零食類,94,其他零食,S,,,,
#233322 回饋 $70 ,17,寵物用品類,129,寵物用品,3,,,,
BK-POP-UP BOOK ,21,3C類,143,手機/通訊/週邊,,,,,
KS  女緊身褲 ,22,服飾鞋包類,153,女裝,,,,,
LE CREUSET 深煎鍋 ,15,日用百貨類,114,餐廚用品,,,,,
EC- 輝柏創意條 48 ,21,3C類,143,手機/通訊/週邊,,,,,
ADIDAS 高爾夫鞋 WD ,18,戶外休閒用品類,130,運動健身,,,,,
COUPON #131189 ,21,3C類,143,手機/通訊/週邊,,,,,
COUPON FOR #116315 ,21,3C類,143,手機/通訊/週邊,5,,,,
B.D. 立燈 ,21,3C類,146,相機/攝影/DV,,,,,
EC MILL 葉片電暖 ,12,保健食品類,80,醫材/藥品,,,,,
#123854 BD回饋金 ,7,鮮食類,44,米飯類,,,,,
POLICE鏡框VPLA48 ,21,3C類,146,相機/攝影/DV,,,,,
DIY-PAUILLAC DE LA ,21,3C類,143,手機/通訊/週邊,,,,,
#134358 回饋金 ,7,鮮食類,44,米飯類,,,,,
#1518184回饋金 ,7,鮮食類,44,米飯類,,,,,
EC 圓葉福祿桐盆栽 ,19,家電類,135,生活家電,,,,,
ECDVD- 尖叫旅社 ,22,服飾鞋包類,149,品牌鞋款,,,,,
PRADA太陽PR63XS ,23,精品類,159,精品／飾品,太陽,,,,
#127427  回饋金 ,7,鮮食類,44,米飯類,,,,,
G.ARMANI FR AR5078 ,21,3C類,143,手機/通訊/週邊,5,,,,
RAYBAN FR RX5278F ,21,3C類,143,手機/通訊/週邊,5,2,,,
BK-哇！驚奇工程 ,20,書本/文教用品類,141,文教用品,,,,,
E.ARMANI FR EA1098 ,21,3C類,143,手機/通訊/週邊,,,,,
LIFETIME籃球架 ,18,戶外休閒用品類,130,運動健身,,,,,
H.BOSS鏡框1075 ,21,3C類,146,相機/攝影/DV,,,,,
BD- 水行俠 3D+2D ,21,3C類,146,相機/攝影/DV,BD,3,,,
EC T.MADE 套桿 ,18,戶外休閒用品類,130,運動健身,,,,,
AIRPODSMAX 太空灰 ,17,寵物用品類,129,寵物用品,,,,,
IRC FOR LZC ,21,3C類,143,手機/通訊/週邊,,,,,
EC VTECH學習桌 ,20,書本/文教用品類,139,書籍,,,,,
MOLESKINE 素描組 ,20,書本/文教用品類,141,文教用品,N,,,,
COACH框5112 52 ,23,精品類,159,精品／飾品,,,,,
EC COUPON #1358423 ,21,3C類,143,手機/通訊/週邊,5,2,,,
ECDVD- 吹牛大王 ,17,寵物用品類,127,狗食,D,,,,
GUCCI框GG0176OA ,23,精品類,159,精品／飾品,,,,,
EC 科沃斯自動集塵 ,19,家電類,135,生活家電,,,,,
RAYBAN框RX5382 ,21,3C類,143,手機/通訊/週邊,5,2,,,
T3 智能垃圾桶 ,15,日用百貨類,110,家庭清潔用品,垃圾桶,垃圾,,,
冷凍牛腱心1KG ,11,冷凍食品類,76,冷凍微波料理,冷凍,1,,,
三星 A8 灰 64GB ,21,3C類,143,手機/通訊/週邊,,,,,
鮑魚 1.2 公斤 ,18,戶外休閒用品類,130,運動健身,,,,,
#131868 回饋金 ,7,鮮食類,44,米飯類,,,,,
EC COUPON 7771135 ,21,3C類,143,手機/通訊/週邊,5,,,,
HL青少年救生衣 ,22,服飾鞋包類,153,女裝,,,,,
#129536回饋金 ,7,鮮食類,44,米飯類,,,,,
S.LAURENT框SLM45 ,21,3C類,143,手機/通訊/週邊,5,,,,
COUPON FOR #131865 ,21,3C類,143,手機/通訊/週邊,5,,,,
BK- 烘焙原理 ,20,書本/文教用品類,139,書籍,,,,,
EC SE MOD NX 黑 ,18,戶外休閒用品類,130,運動健身,,,,,
BOTTEGA.V 太陽 143 ,18,戶外休閒用品類,130,運動健身,,,,,
ECBK-100 FIRST ,21,3C類,143,手機/通訊/週邊,,,,,
EC 粉紅碧璽項鍊 ,23,精品類,159,精品／飾品,鍊,,,,
DIESEL框L5199 92 ,18,戶外休閒用品類,130,運動健身,,,,,
TEMPUR雙人加大 ,24,傢俱/家飾類,165,床墊,雙人,,,,
ECSTYLECRAFT 壁畫 ,24,傢俱/家飾類,162,家飾,,,,,
冷凍頂級無骨1 KG ,11,冷凍食品類,70,冷凍蔬菜,冷凍,,,,
冷凍嫩肩里肌 17KG ,10,生鮮食品類,64,生鮮肉品,冷凍,,,,
CHLOE鏡框CE2742 ,21,3C類,146,相機/攝影/DV,,,,,
BULOVA框SUGANBLK ,21,3C類,143,手機/通訊/週邊,,,,,
40MM WATCH 5 BLK ,21,3C類,143,手機/通訊/週邊,5,,,,
EC 藝術屋廚房臥室 ,20,書本/文教用品類,139,書籍,,,,,
1.00克拉鑽石項鍊 ,23,精品類,157,鑽石,,,,,
0.60CTW 鑽石耳環 ,23,精品類,157,鑽石,,,,,
ECOM 贈品環保袋 ,15,日用百貨類,110,家庭清潔用品,M,,,,
IRC EC購物袋 ,22,服飾鞋包類,155,個人服飾配件,,,,,
RAYBAN鏡框6422 ,21,3C類,146,相機/攝影/DV,,,,,
LAGOSTINA 六件組 ,15,日用百貨類,114,餐廚用品,,,,,
J.CHOO S TINKA 000 ,21,3C類,143,手機/通訊/週邊,,,,,
麗聲報時音樂掛鐘 ,21,3C類,143,手機/通訊/週邊,,,,,
EC 65OLED706 ,21,3C類,143,手機/通訊/週邊,5,,,,
STUDIO DISPLAY ,21,3C類,143,手機/通訊/週邊,,,,,
鹽漬白腹鯖魚排 ,10,生鮮食品類,65,生鮮海鮮,鯖魚,鹽,魚,鯖,白腹
1.00 克拉鑽石手鍊 ,23,精品類,157,鑽石,,,,,
#1656002 回饋金 ,7,鮮食類,44,米飯類,,,,,
#1592400回饋金 ,7,鮮食類,44,米飯類,,,,,
GLORIA.V 女上衣 ,22,服飾鞋包類,153,女裝,,,,,
#114112  回饋金 ,7,鮮食類,44,米飯類,,,,,
T.P.珍珠手鍊 ,23,精品類,161,黃金,,,,,
MONTBLANC S 0091S ,21,3C類,143,手機/通訊/週邊,,,,,
ECBK- 超能力恐龍 ,20,書本/文教用品類,139,書籍,,,,,
#134299  回饋金 ,7,鮮食類,44,米飯類,,,,,
B-專科水透亮白化 ,19,家電類,136,美容家電,,,,,
唯潔雅抽取衛生紙 ,15,日用百貨類,108,民生紙品,衛生紙,抽取,抽,紙,
6呎胡桃鉗士兵 ,19,家電類,135,生活家電,,,,,
BD #135208 回饋金 ,7,鮮食類,44,米飯類,,,,,
ECDISNEY 迴力車 *6 ,20,書本/文教用品類,139,書籍,,,,,
波波熊裝飾手帳貼-特別日子(藍) ,20,書本/文教用品類,139,書籍,日,,,,
40入柔彩資料夾 紫 ,19,家電類,135,生活家電,,,,,
EC 獨木舟槳板 ,17,寵物用品類,129,寵物用品,,,,,
COUPON FOR #137223 ,21,3C類,143,手機/通訊/週邊,2,,,,
捷利卡優惠點消費－應稅 ,20,書本/文教用品類,139,書籍,,,,,
招牌鍋貼 ,15,日用百貨類,114,餐廚用品,,,,,
雙色摺星紙-微笑 ,15,日用百貨類,114,餐廚用品,,,,,
模造紙-全開-50P ,15,日用百貨類,114,餐廚用品,5,,,,
TED BAKER框2312 ,21,3C類,143,手機/通訊/週邊,2,,,,
EC IPHONE SE 殼綠 ,21,3C類,143,手機/通訊/週邊,,,,,
TED BAKER框2311 ,21,3C類,143,手機/通訊/週邊,2,,,,
EC 重型經典打孔機 ,18,戶外休閒用品類,130,運動健身,,,,,
0.70克拉鑽石項鍊 ,23,精品類,157,鑽石,,,,,
EC 8X5 呎儲藏屋 ,14,民生食材類,103,米,,,,,
PENTEL 水溶蠟筆 24 ,15,日用百貨類,115,汽機車用品類,,,,,
RAYBAN框RX6378 ,21,3C類,143,手機/通訊/週邊,,,,,
VOGUE框0VO4190 ,20,書本/文教用品類,139,書籍,1,,,,
#131757 回饋金 ,7,鮮食類,44,米飯類,,,,,
飛利浦T R312 ,21,3C類,143,手機/通訊/週邊,2,飛利浦,,,
EC 跑步機 #TR700 ,18,戶外休閒用品類,130,運動健身,,,,,
#135383 回饋金 ,7,鮮食類,44,米飯類,,,,,
EC GREEN. 抽屜櫃 ,24,傢俱/家飾類,164,傢俱,抽屜,,,,
RS WENGER男錶 ,23,精品類,160,手錶,,,,,
折價卷原味乾酪 ,13,點心/零食類,94,其他零食,味,原味,乾酪,,
#7771041 回饋金 ,7,鮮食類,44,米飯類,,,,,
酷柏寶晴日拋7.50 ,17,寵物用品類,129,寵物用品,,,,,
EC DH 床包被套 4PC ,24,傢俱/家飾類,163,寢具,被,床,,,
0.15克拉鑽石項鍊 ,23,精品類,157,鑽石,,,,,
J.CHOO鏡框291/F ,21,3C類,146,相機/攝影/DV,,,,,
陸寶飲隱山石茶禮 ,15,日用百貨類,114,餐廚用品,,,,,
EC TCL 冷凍櫃 200L ,11,冷凍食品類,76,冷凍微波料理,C,冷凍,,,
E.ARMANI太陽2106 ,18,戶外休閒用品類,130,運動健身,,,,,
J.CHOO S HESTER 2M ,21,3C類,143,手機/通訊/週邊,2,,,,
KAKAO 卡通香氛組 ,16,洗浴清潔/保養類,125,美容保養,組,,,,
雪巖之木香氛皂 ,16,洗浴清潔/保養類,121,身體清潔/保養,皂,,,,
BULOVA框DARBY ,21,3C類,143,手機/通訊/週邊,,,,,
BK 基礎肌力訓練 ,18,戶外休閒用品類,130,運動健身,肌,,,,
EC 阿拉丁卡式暖爐 ,18,戶外休閒用品類,131,戶外露營,,,,,
J.CHOO鏡框210/F ,21,3C類,146,相機/攝影/DV,,,,,
輕水氧日拋2.75 ,24,傢俱/家飾類,162,家飾,,,,,
葡萄王回饋金 ,8,烘焙/甜點類,56,麵包,,,,,
CARRERA框8864807 ,21,3C類,143,手機/通訊/週邊,,,,,
麗聲鐘#4MH423 ,21,3C類,143,手機/通訊/週邊,2,,,,
1.20克拉鑽石戒指 ,23,精品類,157,鑽石,,,,,
SMITH HAUT RED '19 ,21,3C類,143,手機/通訊/週邊,,,,,
MONTBLANC框MB165 ,14,民生食材類,103,米,,,,,
H.BOSS框B975 2IK ,21,3C類,143,手機/通訊/週邊,5,2,,,
美國特選戰斧真空 ,19,家電類,134,廚房家電,,,,,
POLICE鏡框VPLB80 ,21,3C類,146,相機/攝影/DV,,,,,
#1565214 回饋金 ,7,鮮食類,44,米飯類,,,,,
OP茶樹抗菌細纖海 ,15,日用百貨類,110,家庭清潔用品,OP,,,,
B-Baby Bright 蜂 ,2,飲料類,8,茶飲,,,,,
黃金畫　花／常玉 ,20,書本/文教用品類,139,書籍,,,,,
BK- 為什麼我們不 ,20,書本/文教用品類,139,書籍,,,,,
貝林清香痱子粉-藍色 180gm ,15,日用百貨類,111,家庭清潔洗劑,,,,,
玩色10X10cm 摺鶴紙-色塊 ,21,3C類,147,週邊/耗材,,,,,
MOLESKINE框1198A ,20,書本/文教用品類,141,文教用品,1,N,,,
#1415867 回饋金 ,7,鮮食類,44,米飯類,,,,,
透明護照套NA-200 ,22,服飾鞋包類,155,個人服飾配件,,,,,
#136188 回饋金 ,7,鮮食類,44,米飯類,,,,,
EC CLAYGE洗面乳 ,16,洗浴清潔/保養類,121,身體清潔/保養,洗面乳,,,,
FURLA鏡框646 302 ,21,3C類,146,相機/攝影/DV,3,,,,
EC 花寶五號 1200G ,13,點心/零食類,83,肉乾/肉紙,,,,,
EC BK-DK 百科全書 ,20,書本/文教用品類,139,書籍,,,,,
附套線剪 ,19,家電類,135,生活家電,,,,,
鯊魚滑水道樂園 ,20,書本/文教用品類,141,文教用品,,,,,
EC TEDBAKER S 1669 ,21,3C類,143,手機/通訊/週邊,,,,,
EC ZOKU 冰棒機 3PK ,6,冰品類,32,冰棒/雪糕,,,,,
A-多芬結構修護HA ,16,洗浴清潔/保養類,120,髮部清潔/保養,護,修護,多芬,,
A-OnTheBody SPA? ,21,3C類,143,手機/通訊/週邊,,,,,
涼感緹花船襪-吐 ,22,服飾鞋包類,150,流行鞋襪,襪,船襪,,,
可樂果辣味紅  48g ,13,點心/零食類,81,餅乾,可樂果,味,,,
ARTSKILLS 填色畫 ,20,書本/文教用品類,139,書籍,,,,,
7721 小丸子密封罐 ,15,日用百貨類,114,餐廚用品,1,密封,,,
藤編式休閒椅 ,24,傢俱/家飾類,164,傢俱,,,,,
B-Betta x ARTiS ,21,3C類,143,手機/通訊/週邊,,,,,
CH BEYCHEVELLE ,21,3C類,143,手機/通訊/週邊,,,,,
G.C. REC. 回饋金 ,7,鮮食類,44,米飯類,,,,,
J.CHOO S LIDIEFSKS ,21,3C類,143,手機/通訊/週邊,,,,,
ECPENTEL 蝴蝶毛筆 ,20,書本/文教用品類,141,文教用品,N,,,,
T.R.六人帳 ,18,戶外休閒用品類,131,戶外露營,,,,,
保力達香梅片 ,13,點心/零食類,91,糖果,,,,,
奧澈日拋9.50 ,17,寵物用品類,129,寵物用品,,,,,
比樂象半統襪7-10 ,18,戶外休閒用品類,130,運動健身,,,,,
白帥帥茶樹抗病毒 ,20,書本/文教用品類,139,書籍,,,,,
OP超音波柔邊瞬吸 ,15,日用百貨類,110,家庭清潔用品,OP,,,,
超吸水護髮巾-粉 ,16,洗浴清潔/保養類,120,髮部清潔/保養,髮,護,水,,
五月花厚棒抽取衛 ,15,日用百貨類,108,民生紙品,抽取,抽,,,
喬亞滴濾無糖黑咖 ,1,咖啡類,2,罐裝/瓶裝咖啡,,,,,
A-貝恩清新雙效洗 ,15,日用百貨類,112,衣物清潔,,,,,
B-惹我清爽吸油蜜 ,16,洗浴清潔/保養類,120,髮部清潔/保養,,,,,
80回清水蕾絲雙眼皮貼-S自然型 G-9087 ,16,洗浴清潔/保養類,123,彩妝/卸妝,,,,,
LABELLE 微笑甘麥 ,2,飲料類,8,茶飲,,,,,
華淨醫用口罩-兒? ,12,保健食品類,80,醫材/藥品,,,,,
#136808回饋金 ,7,鮮食類,44,米飯類,,,,,
EC COUPON 1528956 ,21,3C類,143,手機/通訊/週邊,5,2,,,
#139899回饋金 ,7,鮮食類,44,米飯類,,,,,
CAMERA 回饋金 ,7,鮮食類,44,米飯類,,,,,
TOKADO框TK2117C1 ,21,3C類,143,手機/通訊/週邊,2,,,,
員工活動-CPN ,17,寵物用品類,129,寵物用品,,,,,
#235320 回饋金 ,7,鮮食類,44,米飯類,,,,,
M.C. 仿毛皮保暖毯 ,24,傢俱/家飾類,163,寢具,,,,,
32D. 女連帽上衣 ,22,服飾鞋包類,153,女裝,3,,,,
DANSKIN 女外套 ,22,服飾鞋包類,153,女裝,,,,,
L.T. 兒童居家套組 ,22,服飾鞋包類,152,童裝,,,,,
ALLIE 防曬水凝乳 ,16,洗浴清潔/保養類,125,美容保養,防曬,凝乳,,,
KS科克蘭美國長米 ,20,書本/文教用品類,139,書籍,,,,,
EC WONDER 電蚊拍 ,19,家電類,135,生活家電,,,,,
#137282回饋金 ,7,鮮食類,44,米飯類,,,,,
CLARKS女休閒鞋 ,22,服飾鞋包類,149,品牌鞋款,閒鞋,鞋,休閒鞋,,
#137708  回饋金 ,7,鮮食類,44,米飯類,,,,,
#130672回饋金 ,7,鮮食類,44,米飯類,,,,,
#1712030回饋金 ,7,鮮食類,44,米飯類,,,,,
GUSTAV 登山車 27.5 ,18,戶外休閒用品類,130,運動健身,,,,,
#128926 回饋金 ,7,鮮食類,44,米飯類,,,,,
米其林雨刷回饋金 ,15,日用百貨類,115,汽機車用品類,,,,,
EC SHARP SJ-GD54V ,21,3C類,143,手機/通訊/週邊,5,,,,
#138915回饋金 ,7,鮮食類,44,米飯類,,,,,
不鏽鋼炒鍋三件組 ,15,日用百貨類,114,餐廚用品,不,鋼,鏽,,
EC FOXL V2 黑 ,18,戶外休閒用品類,130,運動健身,,,,,
#1503386回饋金 ,7,鮮食類,44,米飯類,,,,,
CNP防曬組 ,12,保健食品類,79,美肌/纖體,,,,,
BK-你會上學校的 ,20,書本/文教用品類,139,書籍,,,,,
IRC FOR #138612 ,21,3C類,143,手機/通訊/週邊,2,,,,
CHEF TOPF烤盤38 ,11,冷凍食品類,76,冷凍微波料理,C,,,,
奧澈日拋3.75 ,17,寵物用品類,129,寵物用品,3,,,,
GUCCI框GG0301O ,23,精品類,159,精品／飾品,,,,,
珠寶回饋金 ,22,服飾鞋包類,155,個人服飾配件,寶,珠,,,
#137590 回饋金 ,7,鮮食類,44,米飯類,,,,,
#130665回饋金 ,7,鮮食類,44,米飯類,,,,,
妮維雅止汗爽身噴 ,16,洗浴清潔/保養類,125,美容保養,,,,,
IRC FOR #140654 ,21,3C類,143,手機/通訊/週邊,5,,,,
BK-超圖解英國史 ,20,書本/文教用品類,139,書籍,,,,,
牛頭牌笛音壺 ,15,日用百貨類,114,餐廚用品,,,,,
花膠燉豬雞腳湯 ,11,冷凍食品類,76,冷凍微波料理,豬,雞,,,
威廉寇紅酒12PK ,21,3C類,143,手機/通訊/週邊,2,,,,
#651470回饋金 ,7,鮮食類,44,米飯類,,,,,
137371回饋金 ,7,鮮食類,44,米飯類,,,,,
YEELIGHT感應燈 ,19,家電類,135,生活家電,,,,,
BK-歡迎光臨牙齒 ,20,書本/文教用品類,139,書籍,,,,,
黃金套組1770厘 ,23,精品類,161,黃金,黃,金,,,
TDC 有機蔬菜條 ,11,冷凍食品類,70,冷凍蔬菜,有機,蔬菜,有,,
14K黃K金花耳環 ,23,精品類,159,精品／飾品,耳,耳環,,,
JINRO香吉士調酒 ,25,菸酒類,171,啤酒,酒,,,,
IRC FOR #210110 ,21,3C類,143,手機/通訊/週邊,2,,,,
TORRIONE PETROLO ,21,3C類,143,手機/通訊/週邊,,,,,
鐵三角麥克風 ,21,3C類,143,手機/通訊/週邊,,,,,
ECLEGO 瑪利歐之家 ,12,保健食品類,78,保健/養生,,,,,
老協珍富貴牛腩筋 ,12,保健食品類,78,保健/養生,,,,,
COUPON FOR #134313 ,21,3C類,143,手機/通訊/週邊,,,,,
IRC FOR #138761 ,21,3C類,143,手機/通訊/週邊,,,,,
川味麻辣雞翅 ,11,冷凍食品類,76,冷凍微波料理,麻辣,雞,,,
NZ 奇異果折價金 ,10,生鮮食品類,63,生鮮水果,,,,,
奈森克林L型牙間刷    (SSS) ,16,洗浴清潔/保養類,122,口腔保健,,,,,
CAT:H  回饋金 ,7,鮮食類,44,米飯類,,,,,
GTX太陽能燈4PK ,18,戶外休閒用品類,130,運動健身,,,,,
JACHS男牛仔長褲 ,22,服飾鞋包類,154,男裝,男,牛仔,褲,,
CANON 墨水回饋金 ,21,3C類,147,週邊/耗材,,,,,
CANON BK PGI-750XL ,21,3C類,143,手機/通訊/週邊,5,,,,
#1543865 回饋金 ,7,鮮食類,44,米飯類,,,,,
IRC FOR #1536950 ,21,3C類,143,手機/通訊/週邊,5,,,,
#133299回饋金 ,7,鮮食類,44,米飯類,,,,,
澳洲牛嫩角尖 ,17,寵物用品類,127,狗食,,,,,
小吃Food Court ,20,書本/文教用品類,139,書籍,,,,,
越南青花菜4CT ,2,飲料類,8,茶飲,,,,,
貝禮詩熔岩蛋糕 ,26,禮盒類,176,禮盒,蛋,,,,
#128533  饋金 ,2,飲料類,8,茶飲,5,1,,,
新鮮芒果千層蛋糕 ,8,烘焙/甜點類,59,其他甜食,蛋糕,,,,
#138578回饋金 ,7,鮮食類,44,米飯類,,,,,
EC IGLOO 90QT COOL ,21,3C類,143,手機/通訊/週邊,,,,,
草莓聖代 ,6,冰品類,31,現做霜淇淋/聖代,,,,,
EC 露營燈 ,18,戶外休閒用品類,131,戶外露營,,,,,
KS LOGO 短袖上衣 ,22,服飾鞋包類,152,童裝,S,,,,
COUPON FOR #699794 ,21,3C類,143,手機/通訊/週邊,,,,,
MERRELL女健行鞋 ,22,服飾鞋包類,153,女裝,,,,,
泰山八寶粥375G_2 ,13,點心/零食類,90,即飲甜品,泰山,八寶粥,寶,,
台酒麻辣酒香豚肉 ,14,民生食材類,99,各式麵條/拌麵,,,,,
春風抽取衛生紙11 ,15,日用百貨類,108,民生紙品,衛生紙,抽取,抽,1,春風
週末歡樂送(W2) ,13,點心/零食類,94,其他零食,,,,,
花盆附盆架２組 ,19,家電類,135,生活家電,,,,,
室內造型盆器4PC ,19,家電類,135,生活家電,,,,,
曼秀雷敦防蚊噴霧 ,12,保健食品類,80,醫材/藥品,,,,,
PHILIPS EP5447金 ,2,飲料類,8,茶飲,5,,,,
CK女船型襪6入 ,18,戶外休閒用品類,130,運動健身,,,,,
田園生菜沙拉 ,7,鮮食類,48,生鮮蔬果/沙拉,,,,,
ARGENT 餐具組 ,15,日用百貨類,114,餐廚用品,餐具,,,,
水耕綠蘿蔓 ,2,飲料類,8,茶飲,綠,,,,
老花拋LOW 4.50 ,10,生鮮食品類,67,冷藏調理,,,,,
SAVIGNY LES BEAUNE ,21,3C類,143,手機/通訊/週邊,,,,,
EC TCL 75C735 ,21,3C類,143,手機/通訊/週邊,5,,,,
COUPON FOR #83683 ,21,3C類,143,手機/通訊/週邊,,,,,
EC STARBUCKS 重焙 ,18,戶外休閒用品類,130,運動健身,,,,,
#135005 回饋金 ,7,鮮食類,44,米飯類,,,,,
BS 225/55 R19 99V ,21,3C類,143,手機/通訊/週邊,5,2,,,
#574320回饋金 ,7,鮮食類,44,米飯類,,,,,
#151201回饋金 ,7,鮮食類,44,米飯類,,,,,
CALLAWAY鏡框LOCK ,21,3C類,146,相機/攝影/DV,,,,,
IRC FOR #137023 ,21,3C類,143,手機/通訊/週邊,2,,,,
澳洲和尚頭切塊 ,10,生鮮食品類,64,生鮮肉品,澳洲,和,,,
ZURU 堡壘防衛者 ,21,3C類,144,桌機/筆電/平板,,,,,
D'URBAN鈦鏡框 ,18,戶外休閒用品類,130,運動健身,,,,,
BK- 大人學選擇 ,20,書本/文教用品類,139,書籍,,,,,
肌研抗皺乳液 ,16,洗浴清潔/保養類,125,美容保養,乳液,,,,
3M 海報雙面膠帶 24 ,20,書本/文教用品類,141,文教用品,,,,,
#139994回饋金 ,7,鮮食類,44,米飯類,,,,,
#1581141回饋金 ,7,鮮食類,44,米飯類,,,,,
#1657228回饋金 ,7,鮮食類,44,米飯類,,,,,
#181679  回饋金 ,7,鮮食類,44,米飯類,,,,,
150片學習積木 ,20,書本/文教用品類,139,書籍,片,1,,,
維他命D回饋金 ,13,點心/零食類,81,餅乾,,,,,
IRC FOR #1468592 ,21,3C類,143,手機/通訊/週邊,5,2,,,
JAC 磯煮鮑魚 ,11,冷凍食品類,72,冷凍肉品,,,,,
KENNETH.C 女外套 ,22,服飾鞋包類,153,女裝,,,,,
WET BRUSH梳子組 ,16,洗浴清潔/保養類,125,美容保養,組,,,,
EC 冷凍帶殼生蠔 ,11,冷凍食品類,70,冷凍蔬菜,冷凍,,,,
ARPHA Q1 ,21,3C類,143,手機/通訊/週邊,,,,,
#135914 回饋金 ,7,鮮食類,44,米飯類,,,,,
澳洲後腿肉薄切 ,10,生鮮食品類,64,生鮮肉品,澳洲,薄切,,,
珍奶色蝶結素寬髮 ,22,服飾鞋包類,155,個人服飾配件,,,,,
珍奶色蝶結中線寬 ,22,服飾鞋包類,153,女裝,,,,,
FERRAGAMO S SF781S ,21,3C類,143,手機/通訊/週邊,,,,,
冷凍牛肋條 24 KG ,11,冷凍食品類,76,冷凍微波料理,冷凍,4,,,
#381571 回饋金 ,7,鮮食類,44,米飯類,,,,,
MAX & MIA 女套組 ,22,服飾鞋包類,153,女裝,,,,,
WETAHERP. 女斗篷 ,22,服飾鞋包類,153,女裝,,,,,
EC-PENTEL 螢光筆 ,20,書本/文教用品類,141,文教用品,N,,,,
EC-78MM 收據紙 60R ,21,3C類,143,手機/通訊/週邊,,,,,
HP 178NW+W2090A X1 ,21,3C類,143,手機/通訊/週邊,2,,,,
黃金戒指206厘 ,23,精品類,161,黃金,黃,金,,,
