mid,pma_no_fin,qty,avg_qty,aov,cv_ratio,cv,rfm_recency,rfm_frequency,rfm_monetary_sum,rfm_monetary,weekday,weekend,midnight,morning,noon,afternoon,night,area_01,area_02,area_03,area_04,area_05,area_06,area_07,area_09,area_10,area_11,age,home_city,gender
000145328f7a49419d08188b86c90d01,65,1,1,89,0.02,1.78,0,1,89,89,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,38, ,M
000145328f7a49419d08188b86c90d01,76,2,1,35,0.039,1.365,4,2,70,35,0,1,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,38, ,M
00016bc7968248278b9e5dbc21c47641,41,5,1,20,0.417,8.34,0,5,100,20,1,0,0,5,0,0,0,0,0,0,0,0,0,5,0,0,0,25, , 
00016bc7968248278b9e5dbc21c47641,47,3,1,18,0.25,4.5,0,3,54,18,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,25, , 
00016bc7968248278b9e5dbc21c47641,65,3,1,59,0.25,14.75,1,3,177,59,1,0,0,3,0,0,0,0,0,0,0,0,0,3,0,0,0,25, , 
00016bc7968248278b9e5dbc21c47641,76,1,1,35,0.083,2.9050000000000002,2,1,35,35,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,25, , 
000184ac62ca4d3fb98ed206d762f55f,18,1,1,76,0.125,9.5,0,1,76,76,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,25,嘉義縣,F
000184ac62ca4d3fb98ed206d762f55f,42,1,1,45,0.125,5.625,0,1,45,45,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,25,嘉義縣,F
000184ac62ca4d3fb98ed206d762f55f,46,6,2,27,0.75,20.25,0,3,162,54,0,1,0,1,2,0,0,0,0,0,1,3,0,0,0,0,0,25,嘉義縣,F
000189e458a943f9bae4f8c3424267d5,65,1,1,28,0.5,14,2,1,28,28,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,40, ,M
000189e458a943f9bae4f8c3424267d5,76,1,1,25,0.5,12.5,2,1,25,25,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,40, ,M
00018c2b17a54368b475de5a051e4736,14,1,1,49,0.11099999999999999,5.438999999999999,1,1,49,49,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,29, ,M
00018c2b17a54368b475de5a051e4736,28,1,1,59,0.11099999999999999,6.5489999999999995,0,1,59,59,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,29, ,M
00018c2b17a54368b475de5a051e4736,29,1,1,35,0.11099999999999999,3.885,0,1,35,35,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,29, ,M
00018c2b17a54368b475de5a051e4736,35,1,1,49,0.11099999999999999,5.438999999999999,0,1,49,49,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,29, ,M
00018c2b17a54368b475de5a051e4736,42,1,1,49,0.11099999999999999,5.438999999999999,1,1,49,49,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,29, ,M
00018c2b17a54368b475de5a051e4736,43,2,2,21,0.22199999999999998,4.661999999999999,6,1,42,42,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,29, ,M
00018c2b17a54368b475de5a051e4736,56,1,1,142,0.11099999999999999,15.761999999999999,6,1,142,142,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,29, ,M
00018c2b17a54368b475de5a051e4736,65,1,1,89,0.11099999999999999,9.879,6,1,89,89,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,29, ,M
0001984ff4a446128da941860cb21dc2,25,1,1,49,0.11099999999999999,5.438999999999999,1,1,49,49,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,37, , 
0001984ff4a446128da941860cb21dc2,41,5,1,27,0.556,15.012,0,5,135,27,1,0,0,5,0,0,0,0,5,0,0,0,0,0,0,0,0,37, , 
0001984ff4a446128da941860cb21dc2,47,2,2,10,0.22199999999999998,2.2199999999999998,0,1,20,20,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,37, , 
0001984ff4a446128da941860cb21dc2,76,1,1,15,0.11099999999999999,1.6649999999999998,3,1,15,15,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,37, , 
000243b5cd314228b1e29586717ca812,11,1,1,20,0.33299999999999996,6.659999999999999,4,1,20,20,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,52, ,F
000243b5cd314228b1e29586717ca812,41,1,1,30,0.33299999999999996,9.989999999999998,4,1,30,30,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,52, ,F
000243b5cd314228b1e29586717ca812,65,1,1,45,0.33299999999999996,14.984999999999998,4,1,45,45,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,52, ,F
000247ef909443818a74125b4ae2723f,28,1,1,79,0.16699999999999998,13.192999999999998,1,1,79,79,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,42, ,F
000247ef909443818a74125b4ae2723f,29,1,1,65,0.16699999999999998,10.854999999999999,1,1,65,65,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,42, ,F
000247ef909443818a74125b4ae2723f,41,2,2,27.5,0.33299999999999996,9.157499999999999,1,1,55,55,1,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,42, ,F
000247ef909443818a74125b4ae2723f,46,1,1,55,0.16699999999999998,9.184999999999999,0,1,55,55,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42, ,F
000247ef909443818a74125b4ae2723f,65,1,1,49,0.16699999999999998,8.183,1,1,49,49,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,42, ,F
000267685c21430189dbab84f23d9cbc,30,1,1,65,0.091,5.915,4,1,65,65,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,40,,F
000267685c21430189dbab84f23d9cbc,41,1,1,35,0.091,3.185,0,1,35,35,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,40,,F
000267685c21430189dbab84f23d9cbc,43,3,1.5,28.330000000000002,0.273,7.734090000000001,0,2,84.99000000000001,42.495000000000005,1,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,40,,F
000267685c21430189dbab84f23d9cbc,47,3,3,10,0.273,2.7300000000000004,0,1,30,30,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,40,,F
000267685c21430189dbab84f23d9cbc,76,3,3,34,0.273,9.282,6,1,102,102,0,1,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,40,,F
